Album,Name,Artists,Remixers,Genre,Bpm,Key,Length,Catalog
"Estiva, Ruben De Ronde, LTN, Kimberly Hale, Fatum - Statement! Recordings - Best Of 2016 - Extended Versions",Bliss(Extended Mix),"RubenDeRonde,Muvy",,Trance,127,F maj,5:32,ARVA857
"Estiva, Ruben De Ronde, LTN, Kimberly Hale, Fatum - Statement! Recordings - Best Of 2016 - Extended Versions",Neutron(Extended Mix),JoshBailey,,Trance,128,G min,7:24,ARVA857
"Estiva, Ruben De Ronde, LTN, Kimberly Hale, Fatum - Statement! Recordings - Best Of 2016 - Extended Versions",I Need You(Extended Mix),NitrousOxide,,Trance,128,G min,6:02,ARVA857
"Estiva, Ruben De Ronde, LTN, Kimberly Hale, Fatum - Statement! Recordings - Best Of 2016 - Extended Versions",G2(Extended Mix),"Muvy,SameK",,Trance,127,C maj,5:00,ARVA857
"Estiva, Ruben De Ronde, LTN, Kimberly Hale, Fatum - Statement! Recordings - Best Of 2016 - Extended Versions",Fire feat. Patrick Baker(Extended Mix),"Rodg,PatrickBaker",,Trance,128,B maj,5:52,ARVA857
Rodg - Apollo,Apollo(Extended Mix),Rodg,,Trance,128,E min,5:56,STM135
Same K - Bloomlight,Bloomlight(Extended Mix),SameK,,Trance,128,B♭ min,5:32,STM134
"Ruben De Ronde, THNK - Compound",Compound(Extended Mix),"RubenDeRonde,THNK",,Trance,126,A min,6:51,STM133
CiDiAN - Open Your Eyes,Open Your Eyes(Extended Mix),CiDiAN,,Trance,121,D min,6:41,STM132
Estiva - Flares,Flares(Extended Mix),Estiva,,Trance,126,E maj,6:30,STM126
Reskide - Drawbridge / Next To Me,Drawbridge(Extended Mix),Reskide,,Trance,128,B♭ maj,5:08,STM131
Reskide - Drawbridge / Next To Me,Next To Me(Extended Mix),Reskide,,Trance,128,C maj,5:22,STM131
"Nitrous Oxide, 2Sher - Elysium",Elysium(Extended Mix),"NitrousOxide,2Sher",,Trance,128,A♭ min,5:29,STM130
Farius - Brave One,Brave One(Extended Mix),Farius,,Trance,128,F min,6:16,STM129
"Rodg, Manu Zain, Louise Rademakers, Dezi Belle, Patrick Baker - High On Life",Parachute(Original Mix),"Rodg,ManuZain",,Electronica/Downtempo,120,D maj,3:24,ARDI3659
"Rodg, Manu Zain, Louise Rademakers, Dezi Belle, Patrick Baker - High On Life",Dream(Original Mix),Rodg,,TechHouse,123,G min,3:28,ARDI3659
"Rodg, Manu Zain, Louise Rademakers, Dezi Belle, Patrick Baker - High On Life",Alibi feat. Louise Rademakers(Original Mix),"Rodg,LouiseRademakers",,Trance,128,B♭ min,3:26,ARDI3659
"Rodg, Manu Zain, Louise Rademakers, Dezi Belle, Patrick Baker - High On Life",High On Life(Original Mix),Rodg,,Trance,128,D♭ min,3:52,ARDI3659
"Rodg, Manu Zain, Louise Rademakers, Dezi Belle, Patrick Baker - High On Life",Flaked(Original Mix),Rodg,,Trance,128,G♭ maj,3:28,ARDI3659
"Rodg, Manu Zain, Louise Rademakers, Dezi Belle, Patrick Baker - High On Life",Islands(Original Mix),Rodg,,Electronica/Downtempo,116,A min,4:16,ARDI3659
"Rodg, Manu Zain, Louise Rademakers, Dezi Belle, Patrick Baker - High On Life",Heatwave(Original Mix),Rodg,,Trance,128,D min,3:37,ARDI3659
"Rodg, Manu Zain, Louise Rademakers, Dezi Belle, Patrick Baker - High On Life",Artefact(Original Mix),Rodg,,Trance,128,D min,3:38,ARDI3659
