Album,Name,Artists,Remixers,Genre,Bpm,Key,Length,Catalog
"Max Freegrant, Miss Monique, Sine & Square, Dezza, AxelPolo - FGVII",Borneo(Original Mix),Kojun,,Trance,128,G maj,5:50,FGC036
"Max Freegrant, Miss Monique, Sine & Square, Dezza, AxelPolo - FGVII",Arrow(Profetik Remix),"MaxFreegrant,MikeSchmid,BrynLiedl",Profetik,Trance,128,B min,6:40,FGC036
"Max Freegrant, Miss Monique, Sine & Square, Dezza, AxelPolo - FGVII",Now I Can See(Original Mix),JamesDeTorres,,Trance,130,G♭ min,5:05,FGC036
"Max Freegrant, Miss Monique, Sine & Square, Dezza, AxelPolo - FGVII",Zest(Original Mix),"BAYABA,Kanallia",,Trance,128,F min,5:45,FGC036
"Max Freegrant, Miss Monique, Sine & Square, Dezza, AxelPolo - FGVII",Sequence(Original Mix),MattEdwards,,Trance,125,B min,7:41,FGC036
"Max Freegrant, Miss Monique, Sine & Square, Dezza, AxelPolo - FGVII",Spark(Original Mix),VladEnthu,,Trance,123,A min,6:01,FGC036
"Dominic Manns, Milad E, Nuestro - Frameshift / Reborn",Frameshift(Original Mix),"DominicManns,MiladE",,Trance,130,E♭ min,5:25,FG284
"Dominic Manns, Milad E, Nuestro - Frameshift / Reborn",Reborn(Original Mix),"Nuestro,MiladE",,Trance,128,D min,5:43,FG284
Tatana - The Power Of Now,The Power Of Now(Original Mix),Tatana,,Trance,128,B♭ maj,5:39,FG283
Tatana - The Power Of Now,The Power Of Now(Firas Tarhini Remix),Tatana,FirasTarhini,Trance,130,F min,5:47,FG283
"Max Freegrant, Max Meyer - Alive / Paradise",Alive(Extended Mix),"MaxFreegrant,MaxMeyer",,ProgressiveHouse,122,B♭ min,7:03,FG282
"Max Freegrant, Max Meyer - Alive / Paradise",Paradise(Extended Mix),"MaxFreegrant,MaxMeyer",,ProgressiveHouse,123,B♭ maj,6:52,FG282
"Max Freegrant, Max Meyer - Alive / Paradise",Paradise(Showave Remix),"MaxFreegrant,MaxMeyer",Showave,Trance,128,B♭ maj,5:48,FG282
"Max Freegrant, Max Meyer - Alive / Paradise",Alive(Original Mix),"MaxFreegrant,MaxMeyer",,ProgressiveHouse,122,F min,4:05,FG282
"Max Freegrant, Max Meyer - Alive / Paradise",Paradise(Original Mix),"MaxFreegrant,MaxMeyer",,ProgressiveHouse,123,B♭ maj,4:23,FG282
"Roman Hope, PSHKR - Call Me Chony / Cape Verde",Call Me Chony(Original Mix),RomanHope,,Trance,128,D maj,5:48,FG281
"Roman Hope, PSHKR - Call Me Chony / Cape Verde",Cape Verde(Original Mix),PSHKR,,Trance,128,F min,6:18,FG281
Quizzow - Cervus / Volem,Cervus(Extended Mix),Quizzow,,Trance,126,C min,5:12,FG280
