Album,Name,Artists,Remixers,Genre,Bpm,Key,Length,Catalog
"ReOrder, Skypatrol, STANDERWICK - Shut Up!",Shut Up!(Original Mix),"ReOrder,Skypatrol,STANDERWICK",,Trance,140,A min,5:49,FSOE120
"Aly & Fila, Jonathan Carvajal, Omar Sherif - A New Age [FSOE400 Anthem]",A New Age [FSOE 400 Anthem](Original Mix),"Aly&Fila,JonathanCarvajal,OmarSherif",,Trance,140,B min,7:20,FSOE119
"Matt Darey, Kate Louise Smith - See The Sun - Dan Stone Rework",See The Sun feat. Kate Louise Smith(Dan Stone Rework),"MattDarey,KateLouiseSmith",DanStone,Trance,138,F maj,6:40,FSOE118
Will Atkinson - Through Spirit,Through Spirit(Original Mix),WillAtkinson,,Trance,140,G♭ maj,8:48,FSOE117
"Aly & Fila, Karim Youssef, May Hassan, Tolland, Kayosa - Future Sound Of Egypt, Vol. 3 - Sampler 4",In My Mind feat. Karim Youssef feat. May Hassan(UCast Remix),"Aly&Fila,KarimYoussef,MayHassan",UCast,Trance,140,A maj,6:58,FSOE116
"Aly & Fila, Karim Youssef, May Hassan, Tolland, Kayosa - Future Sound Of Egypt, Vol. 3 - Sampler 4",Volkach(Original Mix),"Tolland,Kayosa",,Trance,138,E♭ maj,7:22,FSOE116
"Aly & Fila, Karim Youssef, May Hassan, Tolland, Kayosa - Future Sound Of Egypt, Vol. 3 - Sampler 4",Summer Sun(Original Mix),LiamWilson,,Trance,137,G maj,8:39,FSOE116
"Aly & Fila, Karim Youssef, May Hassan, Tolland, Kayosa - Future Sound Of Egypt, Vol. 3 - Sampler 4",No Turning Back(Original Mix),ManuelRocca,,Trance,138,D min,6:57,FSOE116
"Aly & Fila, The Thrillseekers - Es Vedra",Es Vedra(Original Mix),"Aly&Fila,TheThrillseekers",,Trance,138,A min,7:39,FSOE115
"Bjorn Akesson, Arctic Moon, Will Rees - Future Sound Of Egypt, Vol. 3 - Sampler 3",Shadows(Original Mix),BjornAkesson,,Trance,138,E♭ maj,6:57,FSOE114
"Bjorn Akesson, Arctic Moon, Will Rees - Future Sound Of Egypt, Vol. 3 - Sampler 3",Astoria(Original Mix),ArcticMoon,,Trance,138,D maj,6:10,FSOE114
"Bjorn Akesson, Arctic Moon, Will Rees - Future Sound Of Egypt, Vol. 3 - Sampler 3",Persistence(Original Mix),WillRees,,Trance,140,G♭ min,7:56,FSOE114
"Aly & Fila, ARUNA - The Other Shore - Remixes",The Other Shore(Solarstone Pure Mix),"Aly&Fila,ARUNA",Solarstone,Trance,136,C min,8:56,FSOE113
"Aly & Fila, ARUNA - The Other Shore - Remixes",The Other Shore(Husman Remix),"Aly&Fila,ARUNA",Husman,ProgressiveHouse,128,C min,5:14,FSOE113
"Aly & Fila, ARUNA - The Other Shore - Remixes",The Other Shore(Aruna vs Steve Kaetzel Remix),"Aly&Fila,ARUNA",SteveKaetzel,Trance,132,E♭ maj,6:35,FSOE113
"Aly & Fila, ARUNA - The Other Shore - Remixes",The Other Shore(Fady & Mina Remix),"Aly&Fila,ARUNA",Fady&Mina,Trance,140,E♭ maj,8:08,FSOE113
"Amine Maxwell, Mhammed El Alami, Costa, Eloquentia - Future Sound Of Egypt, Vol. 3 - Sampler 2",If I Stay(Original Mix),"AmineMaxwell,MhammedElAlami",,Trance,138,G♭ maj,6:28,FSOE112
"Amine Maxwell, Mhammed El Alami, Costa, Eloquentia - Future Sound Of Egypt, Vol. 3 - Sampler 2",Lost In The Wind(Original Mix),Costa,,Trance,135,E♭ min,8:26,FSOE112
"Amine Maxwell, Mhammed El Alami, Costa, Eloquentia - Future Sound Of Egypt, Vol. 3 - Sampler 2",Nowhere To Return(Original Mix),Eloquentia,,Trance,138,E♭ min,6:22,FSOE112
"Jennifer Rene, STANDERWICK - All Of Us",All Of Us(Original Mix),"JenniferRene,STANDERWICK",,Trance,138,E♭ min,6:22,FSOE111
"Allen & Envy, James Dymond, Johan Ekman - Future Sound Of Egypt, Vol. 3 - Sampler 1",Elixir(Original Mix),Allen&Envy,,Trance,138,D♭ min,8:31,FSOE110
"Allen & Envy, James Dymond, Johan Ekman - Future Sound Of Egypt, Vol. 3 - Sampler 1",Renegade(Original Mix),JamesDymond,,Trance,138,G♭ min,7:15,FSOE110
"Allen & Envy, James Dymond, Johan Ekman - Future Sound Of Egypt, Vol. 3 - Sampler 1",Another Way(Original Mix),JohanEkman,,Trance,140,A♭ min,7:53,FSOE110
"Adam Deane, Omar Sherif - Stay In Wonderland",Stay In Wonderland(Original Mix),"AdamDeane,OmarSherif",,Trance,140,B♭ min,6:29,FSOE109
"Mitka, Niko Zografos - Phoria",Phoria(Original Mix),"Mitka,NikoZografos",,Trance,138,E min,7:19,FSOE108
"Mitka, Niko Zografos - Phoria",Phoria(Ferry Tayle Remix),"Mitka,NikoZografos",FerryTayle,Trance,140,E min,7:18,FSOE108
"Aly & Fila, Roxanne Emery - Shine",Shine feat. Roxanne Emery(Club Mix),"Aly&Fila,RoxanneEmery",,Trance,140,B maj,9:00,FSOE107
"A & Z, Flynn & Denton - Scota",Scota(Original Mix),"A&Z,Flynn&Denton",,Trance,138,G♭ min,8:15,FSOE106
Arctic Moon - Into The Dusk,Into The Dusk(Original Mix),ArcticMoon,,Trance,138,A♭ min,6:37,FSOE105
Dan Stone - Shiki,Shiki(Original Mix),DanStone,,Trance,138,D♭ maj,7:07,FSOE104
Aly & Fila - The Other Shore - Sampler,Along The Edge(Extended Mix),Aly&Fila,,Trance,140,F maj,7:08,FSOE103
Aly & Fila - The Other Shore - Sampler,Altitude Compensation(Extended Mix),Aly&Fila,,Trance,140,C min,8:13,FSOE103
Aly & Fila - The Other Shore - Sampler,Underwater(Extended Mix),Aly&Fila,,Trance,136,E min,6:31,FSOE103
Aly & Fila - The Other Shore - Sampler,White Wave(Extended Mix),Aly&Fila,,Trance,102,D min,5:57,FSOE103
Matt Bowdidge - Second Sun,Second Sun(Original Mix),MattBowdidge,,Trance,140,B♭ maj,6:55,FSOE102
"Vast Vision, Hindsight - Sole Oriente",Sole Oriente(Original Mix),"VastVision,Hindsight",,Trance,136,F maj,7:16,FSOE101
"Aly & Fila, Stoneface & Terminal, Ferry Tayle, Sneijder - The Other Shore - Collabs EP",Universelab(Extended Mix),"Aly&Fila,Stoneface&Terminal",,Trance,135,F min,8:01,FSOE100
"Aly & Fila, Stoneface & Terminal, Ferry Tayle, Sneijder - The Other Shore - Collabs EP",Nubia(Extended Mix),"Aly&Fila,FerryTayle",,Trance,138,A♭ maj,7:40,FSOE100
"Aly & Fila, Stoneface & Terminal, Ferry Tayle, Sneijder - The Other Shore - Collabs EP",Full Throttle(Extended Mix),"Aly&Fila,Sneijder",,Trance,140,E maj,6:44,FSOE100
"Eli, Mohamed Ragab - Passionflower",Passionflower feat. Eli(Original Mix),"Eli,MohamedRagab",,Trance,130,D min,6:53,FSOE099
"Eli, Mohamed Ragab - Passionflower",Passionflower feat. Eli(ReOrder Remix),"Eli,MohamedRagab",ReOrder,Trance,138,D maj,6:08,FSOE099
Driftmoon - Effervescence,Effervescence(Original Mix),Driftmoon,,Trance,138,F maj,6:42,FSOE098
Driftmoon - Effervescence,Effervescence(Dan Stone Remix),Driftmoon,DanStone,Trance,140,F maj,7:00,FSOE098
"ReOrder, Skypatrol, STANDERWICK - Skyres",Skyres(Original Mix),"ReOrder,Skypatrol,STANDERWICK",,Trance,138,F maj,6:36,FSOE097
"Aly & Fila, Jaren, ReOrder, Ian Standerwick, Skypatrol - Future Sound of Egypt - Best of 2014",For All Time(Extended Mix),"Aly&Fila,Jaren",,Trance,140,E♭ maj,7:27,ARVA677
"Aly & Fila, Jaren, ReOrder, Ian Standerwick, Skypatrol - Future Sound of Egypt - Best of 2014",Sailing Airwaves (In Memory of Matt Trigle)(Original Mix),"ReOrder,IanStanderwick,Skypatrol",,Trance,138,D♭ maj,6:57,ARVA677
